A0AIG0,NusB family
A0JX79,NusB family
A0K5D1,NusB family
A0KNG6,NusB family
A0KU66,NusB family
A0LI21,NusB family
A0LUG6,NusB family
A0Q099,NusB family
A0QI54,NusB family
A0QWR5,NusB family
A0RIH4,NusB family
A0RQJ6,NusB family
A1ANJ5,NusB family
A1BDT2,NusB family
A1JNS2,NusB family
A1K279,NusB family
A1KLN0,NusB family
A1KSU6,NusB family
A1R700,NusB family
A1RHD6,NusB family
A1S4C1,NusB family
A1SJD8,NusB family
A1SUU6,NusB family
A1T8G0,NusB family
A1TYX3,NusB family
A1UFJ6,NusB family
A1V1K4,NusB family
A1VEL1,NusB family
A1VYA2,NusB family
A1W9I4,NusB family
A1WVG0,NusB family
A2RCS4,NusB family
A2S9D3,NusB family
A3D7C4,NusB family
A3DDP0,NusB family
A3MA35,NusB family
A3MMR4,NusB family
A3MYS3,NusB family
A3NCG0,NusB family
A3NY89,NusB family
A3PZ57,NusB family
A3QC63,NusB family
A4FBF8,NusB family
A4IQS1,NusB family
A4J3F1,NusB family
A4JC81,NusB family
A4SG66,NusB family
A4SJP2,NusB family
A4TBX3,NusB family
A4TPG6,NusB family
A4VHT5,NusB family
A4W788,NusB family
A4X612,NusB family
A4XLC1,NusB family
A4Y960,NusB family
A4YW92,NusB family
A5CRY5,NusB family
A5D319,NusB family
A5EKH8,NusB family
A5F5Z6,NusB family
A5FQ51,NusB family
A5G3J8,NusB family
A5I310,NusB family
A5IGI0,NusB family
A5ILJ7,NusB family
A5IT53,NusB family
A5N7I8,NusB family
A5U5N2,NusB family
A5UCB7,NusB family
A5UF14,NusB family
A5URZ1,NusB family
A5VKR8,NusB family
A5VPV2,NusB family
A5VXW1,NusB family
A6LLA7,NusB family
A6LU43,NusB family
A6Q4Q9,NusB family
A6QBK6,NusB family
A6QH69,NusB family
A6T5E9,NusB family
A6U1Z6,NusB family
A6U7P8,NusB family
A6VPE8,NusB family
A6W2L6,NusB family
A6WCD3,NusB family
A6WR46,NusB family
A6X1Y4,NusB family
A7FLE7,NusB family
A7FUU1,NusB family
A7GEJ8,NusB family
A7GSK0,NusB family
A7GWZ7,NusB family
A7H4Z5,NusB family
A7HDY2,NusB family
A7HJ80,NusB family
A7HZG1,NusB family
A7MFG4,NusB family
A7MWU1,NusB family
A7NP12,NusB family
A7X2Q3,NusB family
A7Z6K0,NusB family
A7ZBS7,NusB family
A7ZIG9,NusB family
A7ZX68,NusB family
A8AK38,NusB family
A8EVW4,NusB family
A8F0S0,NusB family
A8F7D4,NusB family
A8FF16,NusB family
A8FKG9,NusB family
A8FSR5,NusB family
A8GAN8,NusB family
A8GMD2,NusB family
A8GQY9,NusB family
A8GV61,NusB family
A8H1Q6,NusB family
A8LY11,NusB family
A8MFJ3,NusB family
A8Z464,NusB family
A8ZTU6,NusB family
A9AF25,NusB family
A9AXI5,NusB family
A9BVN7,NusB family
A9ET18,NusB family
A9IVB9,NusB family
A9KBN6,NusB family
A9KMC2,NusB family
A9KYJ0,NusB family
A9M2W7,NusB family
A9MAF0,NusB family
A9MM45,NusB family
A9MX13,NusB family
A9N8T6,NusB family
A9R2J9,NusB family
A9VGW4,NusB family
B0B961,NusB family
B0BAU0,NusB family
B0BSK4,NusB family
B0BWD7,NusB family
B0C5Q2,NusB family
B0CL95,NusB family
B0JGZ3,NusB family
B0K0U6,NusB family
B0K9D9,NusB family
B0KL71,NusB family
B0REX0,NusB family
B0RVD1,NusB family
B0S1M1,NusB family
B0SB76,NusB family
B0ST01,NusB family
B0TEI6,NusB family
B0TJZ1,NusB family
B0U4K2,NusB family
B0UU23,NusB family
B0V9X4,NusB family
B0VPT9,NusB family
B1HRY0,NusB family
B1I3I9,NusB family
B1I9M4,NusB family
B1IMN9,NusB family
B1J033,NusB family
B1J3F6,NusB family
B1JIE1,NusB family
B1JX75,NusB family
B1KJK5,NusB family
B1KT54,NusB family
B1LAQ8,NusB family
B1LJG6,NusB family
B1W456,NusB family
B1WXY6,NusB family
B1XF04,NusB family
B1XIZ3,NusB family
B1YUJ1,NusB family
B2A534,NusB family
B2FNL4,NusB family
B2G851,NusB family
B2GD68,NusB family
B2I2B2,NusB family
B2I8Q4,NusB family
B2J3F1,NusB family
B2JED0,NusB family
B2K6T4,NusB family
B2KE32,NusB family
B2S4Q2,NusB family
B2S518,NusB family
B2SNW5,NusB family
B2T6D1,NusB family
B2TRN6,NusB family
B2U4L9,NusB family
B2U7E9,NusB family
B2UW05,NusB family
B2V4R8,NusB family
B2VHS8,NusB family
B3DQ30,NusB family
B3DWQ3,NusB family
B3E757,NusB family
B3EFQ8,NusB family
B3EM81,NusB family
B3H044,NusB family
B3PVD4,NusB family
B3QJK9,NusB family
B3QLL5,NusB family
B3QV72,NusB family
B3WEY5,NusB family
B4EBT9,NusB family
B4EU20,NusB family
B4RJT3,NusB family
B4RVY5,NusB family
B4S517,NusB family
B4SCZ7,NusB family
B4SJC1,NusB family
B4SWR0,NusB family
B4T8Q9,NusB family
B4TM98,NusB family
B4UIM1,NusB family
B5BDB4,NusB family
B5E1P3,NusB family
B5E853,NusB family
B5EXF9,NusB family
B5FBF9,NusB family
B5FKS3,NusB family
B5QTG6,NusB family
B5R6R9,NusB family
B5XI30,NusB family
B5Y0X5,NusB family
B5YE05,NusB family
B5YHQ2,NusB family
B5Z3S0,NusB family
B5Z6D7,NusB family
B5ZXV2,NusB family
B6EIA0,NusB family
B6HZL7,NusB family
B6IZ82,NusB family
B6J8Q7,NusB family
B6JPA0,NusB family
B7GPW0,NusB family
B7GUW2,NusB family
B7HB53,NusB family
B7HNU5,NusB family
B7I252,NusB family
B7IH57,NusB family
B7IXH3,NusB family
B7JM33,NusB family
B7K4P4,NusB family
B7KFR8,NusB family
B7L650,NusB family
B7LMH1,NusB family
B7M3Q5,NusB family
B7MD74,NusB family
B7MQD1,NusB family
B7N8W8,NusB family
B7NJ81,NusB family
B7UJN9,NusB family
B7VJA4,NusB family
B8CJN3,NusB family
B8D2G0,NusB family
B8D7Z2,NusB family
B8D9P0,NusB family
B8DFW9,NusB family
B8DJF1,NusB family
B8DTW1,NusB family
B8E246,NusB family
B8E6W7,NusB family
B8F8R7,NusB family
B8FJ78,NusB family
B8FQ61,NusB family
B8G2S7,NusB family
B8H535,NusB family
B8H8V2,NusB family
B8HYJ8,NusB family
B8I3B0,NusB family
B8J194,NusB family
B8JEW3,NusB family
B8ZLJ7,NusB family
B8ZUK7,NusB family
B9DNQ0,NusB family
B9DVJ4,NusB family
B9E100,NusB family
B9E6Q9,NusB family
B9IXH5,NusB family
B9JCY3,NusB family
B9JV80,NusB family
B9KFP0,NusB family
B9LDT2,NusB family
B9M1E7,NusB family
B9MBL7,NusB family
C0MBK2,NusB family
C0MED0,NusB family
C0Q7U3,NusB family
C0QKW6,NusB family
C0QT45,NusB family
C0RIA7,NusB family
C0ZZC1,NusB family
C1AF01,NusB family
C1B4I5,NusB family
C1C5G8,NusB family
C1CCJ6,NusB family
C1CIT2,NusB family
C1CPU1,NusB family
C1CVC5,NusB family
C1DB31,NusB family
C1ERQ5,NusB family
C1FPB3,NusB family
C1L2R5,NusB family
C3K2R8,NusB family
C3KXC7,NusB family
C3LJV6,NusB family
C3LQ39,NusB family
C3M9I9,NusB family
C3P7W1,NusB family
C3PGM1,NusB family
C3PMK2,NusB family
C4K0Q5,NusB family
C4K7H4,NusB family
C4L3F7,NusB family
C4LAE0,NusB family
C4ZCZ0,NusB family
C4ZTH3,NusB family
C5BCH6,NusB family
C5BS84,NusB family
C5C681,NusB family
C5CPZ2,NusB family
C6DB34,NusB family
C6E3M6,NusB family
O24853,NusB family
O51134,NusB family
O66530,NusB family
O83979,NusB family
O84839,NusB family
P0A780,NusB family
P0A781,NusB family
P0A782,NusB family
P0A783,NusB family
P0DC76,NusB family
P0DC77,NusB family
P45150,NusB family
P54520,NusB family
P57535,NusB family
P57868,NusB family
P59452,NusB family
P65577,NusB family
P65578,NusB family
P65579,NusB family
P65580,NusB family
P65581,NusB family
P65582,NusB family
P65583,NusB family
P65585,NusB family
P74395,NusB family
P9WIV0,NusB family
P9WIV1,NusB family
Q01T72,NusB family
Q038F8,NusB family
Q03FZ6,NusB family
Q03IW6,NusB family
Q03RR0,NusB family
Q04M45,NusB family
Q04Q78,NusB family
Q054N4,NusB family
Q057F3,NusB family
Q086C3,NusB family
Q0ABQ3,NusB family
Q0AD60,NusB family
Q0APG4,NusB family
Q0AZF7,NusB family
Q0BHJ8,NusB family
Q0BTF1,NusB family
Q0C0J1,NusB family
